Calendar Year,System Type,LNG Tanks,LNG Plants,Facility Status,Report ID,LNG No Leaks Incidents,PORTAL_DATE,Operator Count,Operator Count,State Name,Pipeline Region Name,Inter / Intra
2010,LNG,1,1,I,20110001,N,2017-03-07 04:06:52,1,909,GEORGIA,SOUTHERN,INTRASTATE
2010,LNG,6,4,I,20110002,N,2017-03-07 04:06:52,1,180,ALABAMA,SOUTHERN,INTRASTATE
2010,LNG,1,1,I,20110003,N,2017-03-07 04:06:52,1,17540,VIRGINIA,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110004,N,2017-03-07 04:06:52,1,2704,NEW YORK,EASTERN,INTRASTATE
2010,LNG,3,2,I,20110005,N,2017-03-07 04:06:52,1,13299,NEW JERSEY,EASTERN,INTRASTATE
2010,LNG,3,3,I,20110006,N,2017-03-07 04:06:52,1,16667,NEW HAMPSHIRE,EASTERN,INTRASTATE
2010,LNG,2,1,I,20110007,N,2017-03-07 04:06:52,1,1800,NEW YORK,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110008,N,2017-03-07 04:06:52,1,11713,NEW YORK,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110009,N,2017-03-07 04:06:52,1,4547,MASSACHUSETTS,EASTERN,INTRASTATE
2010,LNG,2,2,I,20110010,N,2017-03-07 04:06:52,1,11856,MASSACHUSETTS,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110011,N,2017-03-07 04:06:52,1,2616,VIRGINIA,EASTERN,INTERSTATE
2010,LNG,1,1,I,20110012,N,2017-03-07 04:06:52,1,2288,TENNESSEE,SOUTHERN,INTERSTATE
2010,LNG,3,2,I,20110013,N,2017-03-07 04:06:52,1,2066,MASSACHUSETTS,EASTERN,INTRASTATE
2010,LNG,3,3,I,20110014,N,2017-03-07 04:06:52,1,1640,MASSACHUSETTS,EASTERN,INTRASTATE
2010,LNG,4,3,I,20110015,N,2017-03-07 04:06:52,1,792,GEORGIA,SOUTHERN,INTRASTATE
2010,LNG,1,1,I,20110016,N,2017-03-07 04:06:52,1,4350,NEW JERSEY,EASTERN,INTRASTATE
2010,LNG,2,2,I,20110017,N,2017-03-07 04:06:52,1,2392,INDIANA,CENTRAL,INTRASTATE
2010,LNG,1,1,I,20110018,N,2017-03-07 04:06:52,1,13480,RHODE ISLAND,EASTERN,INTERSTATE
2010,LNG,2,2,I,20110018,N,2017-03-07 04:06:52,1,13480,RHODE ISLAND,EASTERN,INTRASTATE
2010,LNG,2,1,I,20110019,N,2017-03-07 04:06:52,1,15329,ILLINOIS,CENTRAL,INTRASTATE
2010,LNG,1,1,I,20110020,N,2017-03-07 04:06:52,1,13783,WISCONSIN,CENTRAL,INTRASTATE
2010,LNG,1,1,I,20110021,N,2017-03-07 04:06:52,1,22777,WISCONSIN,CENTRAL,INTRASTATE
2010,LNG,4,1,I,20110022,N,2017-03-07 04:06:52,1,22763,WISCONSIN,CENTRAL,INTRASTATE
2010,LNG,5,1,I,20110023,N,2017-03-07 04:06:52,1,32152,LOUISIANA,SOUTHWEST,INTERSTATE
2010,LNG,1,1,I,20110024,N,2017-03-07 04:06:52,1,2700,CONNECTICUT,EASTERN,INTRASTATE
2010,LNG,5,2,I,20110025,N,2017-03-07 04:06:52,1,1088,MARYLAND,EASTERN,INTRASTATE
2010,LNG,2,1,I,20110026,N,2017-03-07 04:06:52,1,32206,TEXAS,SOUTHWEST,INTERSTATE
2010,LNG,1,1,I,20110027,N,2017-03-07 04:06:52,1,15952,NEW JERSEY,EASTERN,INTRASTATE
2010,LNG,2,2,I,20110028,N,2017-03-07 04:06:52,1,8160,IDAHO,WESTERN,INTRASTATE
2010,LNG,3,1,I,20110029,N,2017-03-07 04:06:52,1,15480,ALASKA,WESTERN,INTERSTATE
2010,LNG,3,2,I,20110030,N,2017-03-07 04:06:52,1,15469,PENNSYLVANIA,EASTERN,INTRASTATE
2010,LNG,3,1,I,20110031,N,2017-03-07 04:06:52,1,13795,MAINE,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110032,N,2017-03-07 04:06:52,1,31421,CONNECTICUT,EASTERN,INTERSTATE
2010,LNG,1,1,I,20110033,N,2017-03-07 04:06:52,1,18440,NEW JERSEY,EASTERN,INTRASTATE
2010,LNG,4,3,I,20110034,N,2017-03-07 04:06:52,1,30750,IOWA,CENTRAL,INTRASTATE
2010,LNG,1,1,I,20110035,N,2017-03-07 04:06:52,1,4070,TENNESSEE,SOUTHERN,INTERSTATE
2010,LNG,1,1,I,20110036,N,2017-03-07 04:06:52,1,12390,NEBRASKA,CENTRAL,INTRASTATE
2010,LNG,4,2,I,20110037,N,2017-03-07 04:06:52,1,22189,WASHINGTON,WESTERN,INTRASTATE
2010,LNG,2,1,I,20110038,N,2017-03-07 04:06:52,1,19570,NEW JERSEY,EASTERN,INTERSTATE
2010,LNG,2,1,I,20110038,N,2017-03-07 04:06:52,1,19570,NORTH CAROLINA,SOUTHERN,INTERSTATE
2010,LNG,9,4,I,20110039,N,2017-03-07 04:06:52,1,1209,MASSACHUSETTS,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110040,N,2017-03-07 04:06:52,1,2604,VIRGINIA,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110041,N,2017-03-07 04:06:52,1,630,ARKANSAS,SOUTHWEST,INTRASTATE
2010,LNG,1,1,I,20110042,N,2017-03-07 04:06:52,1,20211,GEORGIA,SOUTHERN,INTRASTATE
2010,LNG,1,1,I,20110043,N,2017-03-07 04:06:52,1,15033,NEVADA,WESTERN,INTERSTATE
2010,LNG,2,1,I,20110044,N,2017-03-07 04:06:52,1,13845,WASHINGTON,WESTERN,INTERSTATE
2010,LNG,1,2,I,20110045,N,2017-03-07 04:06:52,1,12350,MINNESOTA,CENTRAL,INTRASTATE
2010,LNG,0,1,I,20110045,N,2017-03-07 04:06:52,1,12350,TEXAS,SOUTHWEST,INTRASTATE
2010,LNG,1,1,I,20110046,N,2017-03-07 04:06:52,1,31191,MONTANA,WESTERN,INTRASTATE
2010,LNG,1,1,I,20110047,N,2017-03-07 04:06:52,1,3240,DELAWARE,EASTERN,INTRASTATE
2010,LNG,1,1,I,20110048,N,2017-03-07 04:06:52,1,13860,CONNECTICUT,EASTERN,INTRASTATE
2010,LNG,3,1,I,20110049,N,2017-03-07 04:06:52,1,32214,LOUISIANA,SOUTHWEST,INTERSTATE
2010,LNG,1,1,I,20110050,N,2017-03-07 04:06:52,1,13750,IOWA,CENTRAL,INTERSTATE
2010,LNG,1,1,I,20110050,N,2017-03-07 04:06:52,1,13750,MINNESOTA,CENTRAL,INTERSTATE
2010,LNG,1,1,I,20110051,N,2017-03-07 04:06:52,1,15938,NORTH CAROLINA,SOUTHERN,INTRASTATE
