System Type,System Type Detail,InterState Indicator,Total Miles,State Name,Calendar Year,Operator Count
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,10908.1,ALABAMA,2010,180
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,144.21,ALABAMA,2010,261
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,434,ALABAMA,2010,766
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,97,ALABAMA,2010,828
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,116,ALABAMA,2010,1192
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,32,ALABAMA,2010,1365
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,264,ALABAMA,2010,1584
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,201.77,ALABAMA,2010,1728
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,27.34,ALABAMA,2010,1736
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,97,ALABAMA,2010,2020
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,69,ALABAMA,2010,2088
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,22,ALABAMA,2010,2300
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,91,ALABAMA,2010,2304
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,472,ALABAMA,2010,2421
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,454,ALABAMA,2010,2456
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,481.024,ALABAMA,2010,2688
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,22,ALABAMA,2010,2784
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,823,ALABAMA,2010,2904
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,57,ALABAMA,2010,3050
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,244,ALABAMA,2010,3130
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,413.146,ALABAMA,2010,3183
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,636,ALABAMA,2010,3200
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,34,ALABAMA,2010,3490
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,512,ALABAMA,2010,5040
GAS DISTRIBUTION,MAIN,NOT SPECIFIED,119,ALABAMA,2010,5090
