Calendar Year,System Type,Inter/Intra,Commodity,Type A Miles,Type B Miles,Offshore Miles,Total Miles,Operator Count,Operator Count, VALUEOF(PORTAL_DATE)
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,376,376,1,994,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,8.35,0,0,8.35,1,1007,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,49,49,1,1472,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,36.5,36.5,1,1552,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,2.8,112,0,114.8,1,2616,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,26,3,0,29,1,2714,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,28.87,28.87,1,4908,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,22,0,0,22,1,8326,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,31,0,0,31,1,11175,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,20.42,0,20.42,1,13063,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,230,230,1,18273,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,38,0,0,38,1,18286,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,2.36,0,0,2.36,1,18383,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,323.16,323.16,1,18646,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,29.19,0,20.94,50.13,1,18667,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,20.7,30.5,0,51.2,1,19035,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,313.2,0,1651.834,1965.034,1,19570,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,11.68,0,0,11.68,1,22368,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,48,0,48,1,22462,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,239,239,1,30940,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,119.3,119.3,1,31130,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,15.4,15.4,1,31296,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,6.3,14.216,20.516,1,31336,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,408.6,408.6,1,31485,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,9.85,0,0,9.85,1,31512,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,1559.7,1559.7,1,31618,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,160.1,12.9,0,173,1,31728,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,9,0,48,57,1,31995,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0.48,0.23,42.71,43.42,1,32083,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,3.8,0,0,3.8,1,32167,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,6.24,0,0,6.24,1,32249,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,255,255,1,32296,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,8.58,70.01,0,78.59,1,32314,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,87.9,87.9,1,32532,2017-03-07 04:06:52
2010,GAS GATHERING,INTERSTATE,NATURAL GAS,0,0,5.94,5.94,1,32584,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,29,0,0,29,1,21,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,34,0,0,34,1,144,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,33,51,0,84,1,402,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,82,3,0,85,1,473,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,29.62,0,29.62,1,630,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,1,0,1,1,857,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,272,0,272,1,878,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,5.1,0,0,5.1,1,990,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6,2,0,8,1,999,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,8.22,0,0,8.22,1,1017,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,1021,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,24,0,24,1,1042,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,29,0,0,29,1,1065,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.2,0,0,1.2,1,1130,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0.25,0,0.25,1,1426,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6,0,0,6,1,1432,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,5,0,0,5,1,1472,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,5.57,7.23,13.8,1,2001,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,7.67,79.8,0,87.47,1,2859,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,27,0,0,27,1,3133,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,0,1,1,3146,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,20.446,0,20.446,1,3260,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,33,0,0,33,1,3345,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,29.83,0,0,29.83,1,3527,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,272.68,662.5,0,935.18,1,4060,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,119.83,0,0,119.83,1,4461,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,65,0,65,1,4510,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,11.87,0.01,0,11.88,1,4900,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,7.95,7.85,67.4,83.2,1,4908,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,78,0,78,1,5524,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3,0,0,3,1,6255,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,17.66,0,0,17.66,1,7338,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,18.04,88.28,0,106.32,1,7348,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,22.93,0,0,22.93,1,9011,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,15.28,0,0,15.28,1,9012,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,56.3,22.52,78.82,1,11272,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,100,0,100,1,11525,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,2,0,2,1,12059,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4.4,2.5,0,6.9,1,12125,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,14,14,1,12303,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.5,0,0,1.5,1,12395,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,42,0,0,42,1,12408,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2.4,0,0,2.4,1,12420,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,17,0,17,1,12878,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3.863,21.973,0,25.836,1,12930,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,293.8,0,293.8,1,13062,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,10.81,1.6,0,12.41,1,13131,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,9.599,0,9.599,1,13302,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0.64,0,0.64,1,14356,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4.5,0,0,4.5,1,15007,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,1.22,0,1.22,1,15208,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.941,191.461,0,193.402,1,15350,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0.272,3.99,0,4.262,1,15444,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,31.6,0,14.58,46.18,1,15454,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,0,1,1,15589,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,6,0,6,1,15602,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,7,0,7,1,15815,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,120.4,11.3,0,131.7,1,15931,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,17325,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,11,0,0,11,1,18199,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,7.5,0,4.9,12.4,1,18201,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,38,0,0,38,1,18286,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,92.69,0,0,92.69,1,18388,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,18542,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,313.7,0,0,313.7,1,18548,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,6.95,0,6.95,1,18667,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,23.1,0,23.1,1,19035,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,5.4,0,0,5.4,1,19102,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,134,0,0,134,1,19125,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,14,0,0,14,1,19269,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,11.22,11.22,1,19410,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,6.06,0,6.06,1,20132,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,15,15,1,22110,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,206.49,0,206.49,1,22435,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,169,0,0,169,1,22465,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,7.66,0,0,7.66,1,26040,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,36.83,0,0,36.83,1,26330,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,5.6,0,0,5.6,1,30001,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,180.53,547,0,727.53,1,30029,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,26,0,26,1,30034,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,4,0,4,1,30050,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4.5,0,0,4.5,1,30056,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,12,0,12,1,30065,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,52,0,52,1,30588,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6.29,0,0,6.29,1,30619,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3,88.57,0,91.57,1,30629,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,112,0,0,112,1,30691,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6.37,0,8.897,15.267,1,30711,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3.7,28.5,0,32.2,1,30713,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,1.68,25.1,26.78,1,30716,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,18.73,0,18.73,1,30718,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.3,0,0,1.3,1,30748,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3.643,0,0,3.643,1,30782,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,39,39,1,30792,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,30794,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4.45,0,0,4.45,1,30807,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,101,0,0,101,1,30826,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,3.59,0,3.59,1,30850,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,3,0,3,1,30914,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,0,1,1,30940,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,34.89,0,34.89,1,30951,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2.5,0,0,2.5,1,30981,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,13.8,3.4,1.3,18.5,1,31067,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4,0,0,4,1,31068,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0.75,0,0,0.75,1,31075,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,5,0,5,1,31104,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3,4,0,7,1,31106,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4,0,4,8,1,31108,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,0,1,1,31116,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,717.06,544.99,118.18,1380.23,1,31130,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,85,0,8,93,1,31178,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,56.7,29.3,0,86,1,31202,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3,1,0,4,1,31208,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0.44,0,0,0.44,1,31219,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,9,0,0,9,1,31231,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,10.528,115.493,0,126.021,1,31246,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,4.25,0,4.25,1,31255,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,5.63,5.63,1,31296,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,254.6,0,0,254.6,1,31304,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,2.567,2.567,1,31336,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,50,50,1,31347,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.2,0,0,1.2,1,31361,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,80,80,1,31365,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,3,0,3,1,31374,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6.6,0,0,6.6,1,31382,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,7.53,0.44,0,7.97,1,31408,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,1.3,0,1.3,1,31428,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3.19,0,0,3.19,1,31430,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,3.29,0,3.29,1,31450,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3.2,6,0,9.2,1,31451,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,12.35,34.6,0,46.95,1,31472,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,10.3,0,10.3,1,31477,2017-03-07 04:06:52
