Calendar Year,System Type,Inter/Intra,Commodity,Total Miles,Total Breakout Tanks,Operator Count,Operator Count, VALUEOF(PORTAL_DATE),HL Total Pipe Miles,Miles of Gathering
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,167,0,1,515,2017-03-07 04:06:52,167,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,129,0,1,2731,2017-03-07 04:06:52,129,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,833,0,1,30657,2017-03-07 04:06:52,833,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,140,0,1,31475,2017-03-07 04:06:52,140,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,1277,0,1,31555,2017-03-07 04:06:52,1277,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,577.736,0,1,31627,2017-03-07 04:06:52,577.736,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,178.05,0,1,31672,2017-03-07 04:06:52,178.05,
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,7.7,0,1,31897,2017-03-07 04:06:52,7.7,7.7
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,27.7,0,1,32141,2017-03-07 04:06:52,27.7,0
2010,HAZARDOUS LIQUID,INTERSTATE,CO2,122.107,0,1,32543,2017-03-07 04:06:52,122.107,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,2488.74,71,1,300,2017-03-07 04:06:52,2488.74,72.06
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,8,0,1,994,2017-03-07 04:06:52,8,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,487,18,1,1248,2017-03-07 04:06:52,487,124
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,337,13,1,1960,2017-03-07 04:06:52,337,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,147,3,1,2371,2017-03-07 04:06:52,147,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,64.7,22,1,2387,2017-03-07 04:06:52,64.7,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1386.3,29,1,2731,2017-03-07 04:06:52,1386.3,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,140.41,3,1,4430,2017-03-07 04:06:52,140.41,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1321.69,9,1,4906,2017-03-07 04:06:52,1321.69,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,10.83,0,1,4908,2017-03-07 04:06:52,10.83,10.83
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,30.46,0,1,5081,2017-03-07 04:06:52,30.46,
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,288.99,3,1,5656,2017-03-07 04:06:52,288.99,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,136.5,4,1,7660,2017-03-07 04:06:52,136.5,0
