Commodity,Interstate Miles,Intrastate Miles,Total Miles,Breakout Tanks,Miles of Gathering,InterState Indicator,Calendar Year,Calendar Year
BIOFUEL,,15,15,9,0,INTRASTATE,2015,2015
BIOFUEL,,,,,,,2015,2015
CO2,4005.192,,4005.192,0,0,INTERSTATE,2015,2015
CO2,,1227.617,1227.617,0,0,INTRASTATE,2015,2015
CO2,,,,,,,2015,2015
CRUDE OIL,50278.603,,50278.603,1567,1193.84,INTERSTATE,2015,2015
CRUDE OIL,,22925.582,22925.582,1083,2629.223,INTRASTATE,2015,2015
CRUDE OIL,,,,,,,2015,2015
HVL FLAMM TOXIC,39224.089,,39224.089,161,219.824,INTERSTATE,2015,2015
HVL FLAMM TOXIC,,28352.428,28352.428,99,188.294,INTRASTATE,2015,2015
HVL FLAMM TOXIC,,,,,,,2015,2015
REFINED PP,52129.94,,52129.94,3283,0,INTERSTATE,2015,2015
REFINED PP,,10457.667,10457.667,1376,0,INTRASTATE,2015,2015
REFINED PP,,,,,,,2015,2015
BIOFUEL,,16.06,16.06,9,0,INTRASTATE,2014,2014
BIOFUEL,,,,,,,2014,2014
CO2,4043.609,,4043.609,0,0,INTERSTATE,2014,2014
CO2,,1231.951,1231.951,0,0,INTRASTATE,2014,2014
CO2,,,,,,,2014,2014
CRUDE OIL,46999.638,,46999.638,1484,1202.97,INTERSTATE,2014,2014
CRUDE OIL,,19813.624,19813.624,937,2542.192,INTRASTATE,2014,2014
CRUDE OIL,,,,,,,2014,2014
HVL FLAMM TOXIC,38694.375,,38694.375,171,0,INTERSTATE,2014,2014
HVL FLAMM TOXIC,,27092.913,27092.913,96,316.89,INTRASTATE,2014,2014
HVL FLAMM TOXIC,,,,,,,2014,2014
REFINED PP,51518.526,,51518.526,3348,0,INTERSTATE,2014,2014
REFINED PP,,10248.141,10248.141,1377,0,INTRASTATE,2014,2014
REFINED PP,,,,,,,2014,2014
BIOFUEL,,16.14,16.14,7,0,INTRASTATE,2013,2013
BIOFUEL,,,,,,,2013,2013
CO2,3990.697,,3990.697,0,0,INTERSTATE,2013,2013
CO2,,1199.333,1199.333,0,0,INTRASTATE,2013,2013
CO2,,,,,,,2013,2013
CRUDE OIL,42408.487,,42408.487,1395,890.38,INTERSTATE,2013,2013
CRUDE OIL,,18678.169,18678.169,930,2776.309,INTRASTATE,2013,2013
CRUDE OIL,,,,,,,2013,2013
HVL FLAMM TOXIC,35996.367,,35996.367,160,0,INTERSTATE,2013,2013
HVL FLAMM TOXIC,,26771.878,26771.878,91,0,INTRASTATE,2013,2013
HVL FLAMM TOXIC,,,,,,,2013,2013
REFINED PP,53056.234,,53056.234,3168,0,INTERSTATE,2013,2013
REFINED PP,,10294.728,10294.728,1222,0,INTRASTATE,2013,2013
REFINED PP,,,,,,,2013,2013
BIOFUEL,,15.94,15.94,6,0,INTRASTATE,2012,2012
BIOFUEL,,,,,,,2012,2012
CO2,3642.958,,3642.958,0,0,INTERSTATE,2012,2012
CO2,,1197.34,1197.34,0,0,INTRASTATE,2012,2012
CO2,,,,,,,2012,2012
CRUDE OIL,39482.003,,39482.003,1326,985.415,INTERSTATE,2012,2012
CRUDE OIL,,17980.766,17980.766,803,2101.277,INTRASTATE,2012,2012
CRUDE OIL,,,,,,,2012,2012
HVL FLAMM TOXIC,33040.329,,33040.329,199,0,INTERSTATE,2012,2012
HVL FLAMM TOXIC,,26820.25,26820.25,92,0,INTRASTATE,2012,2012
HVL FLAMM TOXIC,,,,,,,2012,2012
REFINED PP,53995.032,,53995.032,3226,0,INTERSTATE,2012,2012
REFINED PP,,10046.724,10046.724,1147,0,INTRASTATE,2012,2012
REFINED PP,,,,,,,2012,2012
BIOFUEL,,15.74,15.74,7,0,INTRASTATE,2011,2011
BIOFUEL,,,,,,,2011,2011
CO2,3622.947,,3622.947,0,0,INTERSTATE,2011,2011
CO2,,1112.358,1112.358,0,0,INTRASTATE,2011,2011
CO2,,,,,,,2011,2011
CRUDE OIL,38401.548,,38401.548,1272,1069.61,INTERSTATE,2011,2011
CRUDE OIL,,17698.64,17698.64,632,1838.818,INTRASTATE,2011,2011
CRUDE OIL,,,,,,,2011,2011
HVL FLAMM TOXIC,32900.122,,32900.122,236,0,INTERSTATE,2011,2011
HVL FLAMM TOXIC,,25698.959,25698.959,86,8.652,INTRASTATE,2011,2011
HVL FLAMM TOXIC,,,,,,,2011,2011
REFINED PP,53497.978,,53497.978,3124,0,INTERSTATE,2011,2011
REFINED PP,,10631.785,10631.785,1138,0,INTRASTATE,2011,2011
REFINED PP,,,,,,,2011,2011
BIOFUEL,,16.14,16.14,10,0,INTRASTATE,2010,2010
BIOFUEL,,,,,,,2010,2010
CO2,3459.293,,3459.293,0,7.7,INTERSTATE,2010,2010
CO2,,1100.686,1100.686,0,14.29,INTRASTATE,2010,2010
CO2,,,,,,,2010,2010
CRUDE OIL,37938.807,,37938.807,1099,833.568,INTERSTATE,2010,2010
CRUDE OIL,,16691.741,16691.741,713,1679.982,INTRASTATE,2010,2010
CRUDE OIL,,,,,,,2010,2010
HVL FLAMM TOXIC,32464.441,,32464.441,211,248,INTERSTATE,2010,2010
HVL FLAMM TOXIC,,25515.375,25515.375,85,738.252,INTRASTATE,2010,2010
HVL FLAMM TOXIC,,,,,,,2010,2010
REFINED PP,53665.636,,53665.636,3081,0,INTERSTATE,2010,2010
REFINED PP,,11134.133,11134.133,1060,240.844,INTRASTATE,2010,2010
REFINED PP,,,,,,,2010,2010
