RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	PNAME	PHONE	DOE	DOC
19900001	1990	EAST TEXAS INDUSTRIAL GAS CO	4080	"105 SOUTH WASHINGTON, P.O. BOX 460"	MARSHALL	HARRISON	TX	75671						TX	0	49	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	28	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	28	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BETTIE BARBER	9039386705	1/16/1991 0:00	7/22/1991 0:00
19900002	1990	GEORGE R BROWN PARTNERSHIP	26322	"4700 FIRST CITY TOWER, 1001 FANNIN"	HOUSTON	HARRIS	TX	77002						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"GEORGE BASKIN, PROD. ENGR."	7136524901	1/16/1991 0:00	7/22/1991 0:00
19900003	1990	TALCO ASPHALT OIL CO	19035	300 W. AUSTIN	MARSHALL	HARRISON	TX	75670						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	7	0	0	0	65	0	0	0	0	0	0	0	0	58	7	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JOE W. GATES, JR."	9039351291	1/16/1991 0:00	7/22/1991 0:00
19900004	1990	PELICAN RESERVE PIPELINE CO	15208	"2400 AUGUSTA, SUITE 212"	HOUSTON	HARRIS	TX	77057						TX	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"BUCKNER D. ROANE, PRESIDENT"	7137847552	1/16/1991 0:00	7/22/1991 0:00
19900005	1990	GAS TRANSPORT INC	6220	"1515 CAMDEN AVENUE, P.O. BOX 1323"	PARKERSBURG	WOOD	WV	26101						OH WV	7	33	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	1	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	1	0	40	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	"HOWARD L. BALDWIN, JR. OPERATIONS MANAGER"	3044855850	1/16/1991 0:00	8/8/1991 0:00
19900006	1990	CAMBRIDGE & NAIL	26388	216 TEXAS COMMERCE BANK BUILDING	AMARILLO	POTTER	TX	79109						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAROL SCOTT - OPERATION ASSISTANT	8063587744	1/16/1991 0:00	7/22/1991 0:00
19900007	1990	MUSTANG FUEL CORP OF MISSISSIPPI	12931	2000 CLASSEN CENTER - 800 EAST	OKLAHOMA CITY	OKLAHOMA	OK	73106						MS	0	61	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JEFF THARPE - MANAGER OF OPERATIONS	6013523340	1/16/1991 0:00	7/22/1991 0:00
19900008	1990	LEWIS OPERATING CO	11411	620 HAMILTON BUILDING	WICHITA FALLS	WICHITA	TX	76301	P.O. DRAWER 449	WICHITA FALLS	WICHITA	TX	76307	TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ROBERT MCGAUCHEY, PRODUCTION SUPERVISOR"	8177230266	1/16/1991 0:00	7/22/1991 0:00
19900009	1990	ANDERSON OIL & GAS	484	1008 S. BROADWAY	LEXINGTON	FAYETTE	KY	40504	"900, 1000 LOUISIANA STREET"	HOUSTON		TX	77002	KY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"CHARLES P. SUSIE, EXP. MANAGER"	6062533153	1/16/1991 0:00	7/22/1991 0:00
19900010	1990	SUTTON ENTERPRISES INC	18772	"P.O.BX 5618, 5522 BEACH DR.W, GULF PINES"	DESTIN	WALTON	FL	32541						OH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"CINDY L. SUTTON, SECRETARY-TREASURER"	9048372045	1/16/1991 0:00	7/22/1991 0:00
