RPTID	YR	NAME	OPID	OADDR	OCITY	OCNTY	OST	OZIP	HADDR	HCITY	HCNTY	HST	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	PNAME	PHONE	DOE	DOC
960001	96	OCCIDENTAL CHEMICAL CORP                          	30544	RIVER ROAD RTE #9                       	DELAWARE CITY            	NEW CASTLE               	DE	19706	P.O. BOX 809050                         	DALLAS                   	                         	TX	75380	DE                                              	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALAN L. IMLER                                               	3028343976	19970203	        
960002	96	OCCIDENTAL CHEMICAL CORP                          	30544	RIVER ROAD RTE #9                       	DELAWARE CITY            	NEW CASTLE               	DE	19706	P.O. BOX 809050                         	DALLAS                   	                         	TX	75380	DE                                              	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALAN L. IMLER                                               	3028343976	19970203	        
960003	96	TEXAS SOUTHEASTERN GAS GATHERING CO.              	30721	P.O BOX 38                              	BELLVILLE                	AUSTIN                   	TX	77418	"1177 WEST LOOP SOUTH, SUITE 1825        "	HOUSTON                  	                         	TX	77027	TX                                              	0	17	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LES JONES                                                   	4098653114	19970203	        
960004	96	TEXAS SOUTHEASTERN GAS GATHERING CO.              	30721	P.O BOX 38                              	BELLVILLE                	AUSTIN                   	TX	77418	"1177 WEST LOOP SOUTH, SUITE 1825        "	HOUSTON                  	HARRIS                   	TX	77027	LA                                              	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LES JONES                                                   	4098653114	19970203	        
960005	96	VISTA CHEMICAL CO                                 	21359	2201 OLD SPANISH TRAIL                  	WESTLAKE                 	CALCASIEU                	LA	70669	900 THREADNEEDLE                        	HOUSTON                  	                         	TX	77079	LA                                              	0	16	0	3	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CHRIS TURNER                                                	3184945060	19970203	        
960006	96	BOYKIN CHURCH GATHERING SYSTEM                    	1689	855 S. PEAR ORCHARD ROAD SUITE 501      	RIDGELAND                	MADISON                  	MS	39157	                                        	                         	                         	  	     	MS                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BARCLAY RADER                                               	6019779111	19970203	        
960007	96	EASTERN PIPELINE CORP                             	4123	P.O. BOX 459                            	BUCKHANNON               	UPSHUR                   	WV	26201	501 56TH STREET                         	CHARLESTON               	                         	WV	25304	WV                                              	0	9	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	56	28	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	84	0	0	0	84	0	0	0	0	0	0	0	0	0	98	0	0	0	98	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JOHN K. SAFFLE                                              	3044726100	19970203	        
960008	96	KERR - MCGEE REFINING CORP                        	10191	U.S. ONSHORE REGION P.O. BOX 25861      	OKLAHOMA CITY            	OKLAHOMA                 	OK	73125	                                        	                         	                         	  	     	TX                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DONA POTTS                                                  	4052706107	19970203	        
960009	96	PETRO-HUNT CORPORATION                            	30868	"710 BUFFALO ST, SUITE 301               "	CORPUS CHRISTI           	NUECES                   	TX	78401	3900 THANKSGIVING TOWER                 	DALLAS                   	                         	TX	75201	TX                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DARRELL KEENER                                              	5128872111	19970203	        
960010	96	PETRO-HUNT CORPORATION                            	30868	"710 BUFFALO ST, SUITE 301               "	CORPUS CHRISTI           	NUECES                   	TX	78401	3900 THANKSGIVING TOWER                 	DALLAS                   	                         	TX	75201	TX                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DARRELL KEENER                                              	5128872111	19970203	        
